Page,,Amount,Taxes,Cost Total,,,Value,Cost,Paid,Remaining,Pending,Payment
1,Main Level - Bedroom,,,,,,,,,,,
1,FURNITURE,,,,,,,,,,,
1,FULL:,,,,,,,,,,,
1,"COVERAGE B - PERSONAL PROPERTY - FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
1,|. Mattress / Boxspring set - Full,,$1885,,,,,,$0100,520194,,$0.00
1,sheet se - Full 2.00,EA $60100,92.83,$283,,,$50126,,$0.00,$1257,,$0.00
1,"3, set - Bed, pe.","$1,375.00",,,,,,,$0.00,,,$0.00
1,amazon,,,,,,,,,,,
1,,iB,,,,,,,,,,
1,OpOCF,,,,,feature seven,,,id=373293,dth=,,
1,4. Nightstand,LOOEA $150.00,$7.07,$157.07,yf Avg. 20 y,$7.85,$149.22,,$0.00,$7.85,,$0.00
1,"5, Dresser / Chest of drawers 100",EA $360.00,$16.96,$376.96 I,yf Avg. 20 y,518.85,$358.11,,$0.00,$18.85,,$0.00
1,6. Bookcase / Bookshelf,$159.00,$1.49,$166.49 I,Avg.,8.32,$158.17,,$0.00,$8.32,,$0.00
1,7. Desk,$50.00,$2.36,$52.36 I,yf Avg. 20 y,,49.74,,$0.00,§2.62,,$0.00
1,8. Chair - Computer / Task,$50.0,$236,$52.36 |,yf Avg.,$5.24,47.12,,§0.00,$5.24,,$0.00
1,"9, Wastebasket / garbage / trash can 1.00",EA $34.0,$1.60,$35.60,Avg.,510.68,92492,,$0.00,$10.68,,$0.00
1,CURTAINS/DRAPES,,,,,,,,,,,
1,{0. Curtains / drapes,$30.00,,,Ave Oy,,925.13,,$0.00,$6.28,,$0.00
1,LINENS,,,,,,,,,,,
1,Blanket - Throw ‘MOEA,$39.0,S184,$40.84 yl,Ave.,,$32.67,,$0.00,$8.17,,$0.00
1,Pillow,$120.0,$5.65,$125.65,Avg.,937.10,$87.95,,$0.00,$37.70,,50.00
1,,|,,,,,,,,,,
1,Orig. - Pillow,,,,,,,,,,,
1,"13. TV - LCD/LED-LCD 30-39 in, 1.00",EA $699.00,$32.94,$731.94,Avg.,$146.39,$85.55,,$0.00,$146.39,,$0.00
1,14. Surge protector,$30.00,,S314l,Oy,,{21.99,,$0.00,,,$0.00
1,15. Portable A'C,$250.00,$11.78,$261.78 Syl,Avg.,,$130.89,,$0.00,$130.89,,$0.00
1,Ong. Desc. - Window air conditioner/beater,,,,,,,,,,,
1,16. Bench Couch,$600.00,928.27,$628.27,Ave,439.79,$188.48,,$0.0,$439.79,,$0.00
1,The amount of RC Benefits remaining and/or paid is,subject to policy limitations.,,,,,,,,,,
1,* amount is part of current payment,,,,,,,,,,,
1,© indicates depreciation is non-recoverable,,,,,,,,,,,
2,,,,,,,,,,,St,<>
2,,,,,,,,,,,,"jo wed st ,"
2,,,,,,,,,oy,si pied,so/pue qyauag,y
2,,,wos,16S,,Ay Bay,,,,,,- “|p
2,wes,,,Oris,,,,$918,,001,,
2,wus,,,,,Ay Say hg,,,,v3 001,,~
2,000s,,,,,Ky,,,,,,- “gf
2,wes,66125,,,66,,,,,,,
2,,,,TLE,,,,,,00,SUD -,
2,,,,UU,,,,,,va 001,/,
2,,,000s,,,,,,,,,sayy “pf
2,wes,,000s,,,,,Uz,,va 001,,“EC
2,wes,wis,,,,,,,wos,wl,sural,
2,,,,,,,,,wes,,,*|¢
2,,$668,,,,,,6L'IS,,,-,
2,0005,wes,,C805,,,,TIS,,,,- “62
2,Wes,,wos,,Ov,,,057,Wess,,,
2,wos,THIS,,,wes,,,,,,,
2,,6005,W005,,,,,,,001,,
2,wes,Isis,wos,,ity,,,,,,,ed
2,,,was,169,,,,,,,,
2,,,,,,,,,,,,apedd
2,,,,,,Bay,,,,,do},7
2,woes,,woes,,,Key,66125,6605,,¥3 001,,77
2,,,,,,,,,,,ONY,SNAW
2,,,os,6S,,,,,,008,,“12
2,,,,,,,,,,,,ody FO] J0 28D
2,,,,,,,,,,,,-
2,,,,(87H,OOS,,,(87S,,,,
2,,,,,,,,,,,,-
2,,0888,,,,,,8615,,,,
2,,,owes,,,,1s es,,,,,
2,woos,Overs,,,,,,,weiss,,,
2,,,,,,,,omy,,,,SS
3,,,,,,,,,,,,
3,,,,,,,,,,,,
3,,,,,,,,,,,0,si pred
3,wos,,,wes,,,,,,wes,,
3,,,,,,,ay,,,,,
3,woos,,,wes,,,Key ay,,,,,01
3,,,wes,wes,,,,,,875,,001
3,wos,,,W006,,,,,,,,=.
3,wes,,,wes,,,,,,wes,,
3,wos,,,os,,,Kou,,,16%,00255,
3,000s,,OTS,wos,09055,,Kou,,,,,
3,wos,,,,9S,,A pp Bay |,IvIts,,,,
3,,,,,,,,,|,,,
3,,,,,,,Ky Bay,,,,,001
3,,,WTS,woes,,Wt:,Kay Bay jh,,,,,
3,,,,wes,,,,,,0605,,
3,,,,,9865,WES,,,,Cis,,
3,,,,oes,06725,,Ky day ih,,,,,
3,,,POTS,,WSS,,hoy,,,gris,,val
3,,,AUS),,,OSS:,,,,(875,,
3,wos,,,,,,,,,rls,,
3,,,,,,,,,,,360] pun,
3,,,,,,,,,,,,
3,w0s,,,008,,,,,,,,
3,,,,oes,,,,,,,,
3,000s,,,oes,,,Ay day Ky,,,,,001
3,wes,,,wos,,6S,,,,,,
3,oes,,,000s,,,Key day,,,,,
3,,,,wes,,,,,,,Osis,
3,000,,,0008,,SEIS:,Ay Bay,,,,,Vd
3,,,,,,,,,,,,
3,woos,,6°95,,,,Ay Bay |,,,,,
3,,Lem,,,,,,,,,,
4,,,,,,,,,RC,Benefits’,,
4,,,,,,,,Actual,,,,
4,Deseription,Estimate,,Replacement,,Less,,Replacement,,Estimated,,
4,,Amount,Taxes,Cost Total,e/Cond./Life,Depreciation,Value,Cost wiTax,Paid,Remaining Pending,Paymect,
4,68. Shoes - Mec's - Outdoor,$95.00,,$9948 O67,Ave By,$22,$77.26,,$0.00,9222,$0.00,
4,69. Shoes - Men's - Sandals 1.00,EA,$1.98,$43.8,LS yf Ave. By,$21.9,91.99,,$0.00,$21.9,$0.0,
4,70. Shoes - Men's - Sneakers / Tennis,$110.00,$5.18,$115.18,Avg By,$92.14,93.04,,$0.00,$92.14,$0.00,
4,Subtotals,,,,,"$4,450.95","$5,726.02",$0.00,$0.00,"4,450.95",$0.00,
4,Main Level - Bathroom,,,,,,,,,,,
4,Contents paid under companion elaim,,,,,,,,,,,
4,FURNITURE,,,,,,,,,,,
4,"COVERAGE B - PERSONAL PROPERTY - 4 FIRE, LIGHTNING, &",REMOVAL,,,,,,,,,,
4,71. Bathroom spacesaver,,$539,,,$19.63,$111.26,,$0.00,$19.63,$0.00,
4,"72, Towel",$53.00,$2.50,$55.50,,516.65,$38.85,,$0.00,$16.65,$0.00,
4,"73, Storage / Linen tower",LEA,12,,,,$2403,,$0.00,$42.41,$0.00,
4,74. Towel warmer,,$759,,,$50.58,$11801,,$0.00,$50.58,$0.00,
4,sta! 1.00,EA $40.00,,,Oy,$6.28,$35.60,,$0.00,$6.28,$0.00,
4,"76, Window valance 1.00",EA $22.00,$104,,,,$16.13,,$0.00,$691,$0.00,
4,WALL ARTIDECOR,,,,,,,,,,,
4,"77, Wall decor",EA $45.00,92.12,,,$14.14,$32.98,,$0.00,$14.14,$0.00,
4,"78, Framed artwork / print 1.00",EA $53.00,$2.50,$5550,,$16.65,$38.85,,$0.00,$16.65,$0.00,
4,"79, Wall mirror",,,,Avg. My,527.64,,,$0.00,927.64,$0.00,
4,"80. shelf 1,00",EA $47.00,9221,,,514.16,$34.45,,$0.00,$14.16,$0.00,
4,,|,,,,,,,,,,
4,DECORATIVE ITENS/ACCENTS,,,,,,,,,,,
4,81. - Laundry,$50.00,$2.36,,Oy,$15.71,$36.65,,$0.00,$15.71,$0.00,
4,82. Toilet paper holder - Portable,$42.00,$198,$4398,Oy,$13.19,$0.79,,$0.00,$13.19,90.00,
4,"83, Shower caddy",,$1.51,$3351,,$10.05,$23.46,,$0.00,$10.05,$0.00,
